Setophaga adelaidae
Euphonia musica
Coereba flaveola
Vireo altiloquus
Mniotilta varia
Tiaris bicolor
Spermestes cucullata
Setophaga caerulescens
Bubulcus ibis
Elaenia martinica
Columbina passerina
Setophaga angelae
Quiscalus niger
Anthracothorax viridis
Tyrannus dominicensis
Passer domesticus
Setophaga citrina
Contopus latirostris
Tyrannus caudifasciatus
Parkesia motacilla
Coccyzus minor
Setophaga magnolia
Mimus polyglottos
Setophaga americana
Estrilda melpoda
Seiurus aurocapilla
Margarops fuscatus
setophaga discolor
Loxigilla portoricensis
Chlorostilbon maugaeus
Myiarchus antillarum
coccyzus vieilloti
Icterus portoricensis
Megascops nudipes
Spindalis portoricensis
Nesospingus speculiferus
Todus mexicanus
Melanerpes portoricensis
Vireo latimeri
Turdus plumbeus
Buteo jamaicensis
Geotrygon montana
Crotophaga ani
Molothrus bonariensis
Patagioenas squamosa
Zenaida aurita
Falco sparverius
Catharus bicknelli
Geotrygon chrysia
Columba livia
Accipiter striatus
Icterus icterus
Patagioenas leucocephala
Zenaida asiatica
Brotogeris versicolurus
Tiaris olivaceus
Setophaga ruticilla
Orthorhyncus cristatus
Progne dominicensis
setophaga tigrina
Eulampis holosericeus
Anthracothorax dominicus
Setophaga virens
Butorides virescens
Eupsittula canicularis
Cypseloides niger
Petrochelidon fulva
Ardea alba
Thalasseus maximus
Cathartes aura
