Site,Point.ID,Date,Survey.number,Species - Scientific Name,Species - 4-letter Code,Count,Distance,Detected By
La Salcedoa ,0001-1,02/07/15,1,Seiurus aurocapilla,OVEN,1,11-25,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,1,Setophaga ruticilla,AMRE,1,11-25,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,1,Anthracothorax dominicus,ANMA,1,11-25,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,1,Loxigilla violacea,GABU,1,26-50,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,2,Melanerpes striatus,HIWO,1,11-25,Sound (Canto)
La Salcedoa ,0001-1,02/07/15,2,Anthracothorax dominicus,ANMA,1,0-10,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,2,Turdus plumbeus,RLTH,1,11-25,Sound (Canto)
La Salcedoa ,0001-1,02/07/15,2,Coereba flaveola,BANA,1,26-50,Sound (Canto)
La Salcedoa ,0001-1,02/07/15,3,Loxigilla violacea,GABU,1,11-25,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,3,Coereba flaveola,BANA,1,26-50,Sound (Canto)
La Salcedoa ,0001-1,02/07/15,3,Seiurus aurocapilla,OVEN,1,11-25,Sound (Canto)
La Salcedoa ,0001-1,02/07/15,4,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,4,Melanerpes striatus,HIWO,1,11-25,Sight (Visto)
La Salcedoa ,0001-1,02/07/15,4,Vireo altiloquus,BWVI,1,26-50,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,1,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,2,Dulus dominicus,PALM,1,11-25,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,2,Anthracothorax dominicus,ANMA,1,11-25,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,2,Seiurus aurocapilla,OVEN,2,11-25,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,2,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,2,Melanerpes striatus,HIWO,2,26-50,Sound (Canto)
La Salcedoa ,0002-1,02/07/15,3,Dulus dominicus,PALM,1,11-25,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,3,Setophaga ruticilla,AMRE,1,0-10,Sight (Visto)
La Salcedoa ,0002-1,02/07/15,3,Coereba flaveola,BANA,1,11-25,Sound (Canto)
La Salcedoa ,0002-1,02/07/15,4,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,1,Turdus plumbeus,RLTH,1,11-25,Sound (Canto)
La Salcedoa ,0002-2,02/07/15,1,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,1,Seiurus aurocapilla,OVEN,1,11-25,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,1,Setophaga ruticilla,AMRE,2,11-25,Sound (Canto)
La Salcedoa ,0002-2,02/07/15,1,Loxigilla violacea,GABU,1,11-25,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,1,Anthracothorax dominicus,ANMA,1,11-25,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,2,Melanerpes striatus,HIWO,1,11-25,Sound (Canto)
La Salcedoa ,0002-2,02/07/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,2,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,2,Vireo altiloquus,BWVI,2,26-50,Sound (Canto)
La Salcedoa ,0002-2,02/07/15,3,Melanerpes striatus,HIWO,1,11-25,Sound (Canto)
La Salcedoa ,0002-2,02/07/15,3,Patagioenas inornata,PLAP,1,Fly-over/Volandos,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,3,Loxigilla violacea,GABU,1,11-25,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,4,Vireo altiloquus,BWVI,2,26-50,Sound (Canto)
La Salcedoa ,0002-2,02/07/15,4,Seiurus aurocapilla,OVEN,1,11-25,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,4,Coereba flaveola,BANA,1,0-10,Sound (Canto)
La Salcedoa ,0002-2,02/07/15,4,Anthracothorax dominicus,ANMA,1,0-10,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,4,Setophaga ruticilla,AMRE,1,0-10,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,4,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0002-2,02/07/15,4,Loxigilla violacea,GABU,1,11-25,Sight (Visto)
La Salcedoa ,0003-1,02/07/15,1,Cathartes aura,TUVU,3,Fly-over/Volandos,Sight (Visto)
La Salcedoa ,0003-1,02/07/15,1,Coccyzus longirostris,HILC,1,11-25,Sound (Canto)
La Salcedoa ,0003-1,02/07/15,2,Coccyzus longirostris,HILC,1,11-25,Sight (Visto)
La Salcedoa ,0003-1,02/07/15,3,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0003-1,02/07/15,3,Coereba flaveola,BANA,1,11-25,Sound (Canto)
La Salcedoa ,0003-1,02/07/15,3,Todus subulatus,BBTO,1,11-25,Sight (Visto)
La Salcedoa ,0003-1,02/07/15,4,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0005-1,02/07/15,1,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0005-1,02/07/15,1,Coereba flaveola,BANA,2,11-25,Sound (Canto)
La Salcedoa ,0051-1,02/07/15,2,Buteo jamaicensis,RTHA,2,Fly-over/Volandos,Sight (Visto)
La Salcedoa ,0005-1,02/07/15,2,Coereba flaveola,BANA,1,0-10,Sound (Canto)
La Salcedoa ,0005-1,02/07/15,3,Coereba flaveola,BANA,1,0-10,Sound (Canto)
La Salcedoa ,0005-1,02/07/15,3,Melanerpes striatus,HIWO,1,26-50,Sound (Canto)
La Salcedoa ,0005-1,02/07/15,3,Setophaga ruticilla,AMRE,1,26-50,Sight (Visto)
La Salcedoa ,0005-1,02/07/15,3,Anthracothorax dominicus,ANMA,1,11-25,Sound (Canto)
La Salcedoa ,0005-1,02/07/15,4,Coereba flaveola,BANA,1,26-50,Sound (Canto)
La Salcedoa ,0006-1,02/07/15,1,Phaenicophilus palmarum,BPLT,2,11-25,Sound (Canto)
La Salcedoa ,0006-1,02/07/15,1,Melanerpes striatus,HIWO,1,11-25,Sight (Visto)
La Salcedoa ,0006-1,02/07/15,2,Melanerpes striatus,HIWO,1,26-50,Sound (Canto)
La Salcedoa ,0006-1,02/07/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0006-1,02/07/15,3,Coereba flaveola,BANA,3,11-25,Sound (Canto)
La Salcedoa ,0007-1,02/07/15,1,Nesoctites micromegas,ANPI,1,>50,Sound (Canto)
La Salcedoa ,0007-1,02/07/15,1,Patagioenas inornata,PLAP,1,26-50,Sound (Canto)
La Salcedoa ,0007-1,02/07/15,1,Coereba flaveola,BANA,1,11-25,Sound (Canto)
La Salcedoa ,0007-1,02/07/15,2,Seiurus aurocapilla,OVEN,1,26-50,Sound (Canto)
La Salcedoa ,0007-1,02/07/15,2,Todus subulatus,BBTO,1,26-50,Sound (Canto)
La Salcedoa ,0007-1,02/07/15,3,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0007-1,02/07/15,3,Coccyzus longirostris,HILC,1,26-50,Sound (Canto)
La Salcedoa ,0007-1,02/08/15,1,Turdus plumbeus,RLTH,1,>50,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,1,Turdus plumbeus,RLTH,1,26-50,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,1,Coereba flaveola,BANA,1,11-25,Sound (Canto)
La Salcedoa ,0008-1,08/02/15,1,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0008-1,02/08/15,2,Coereba flaveola,BANA,1,11-25,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,2,Mellisuga minima,VEHU,1,0-10,Sight (Visto)
La Salcedoa ,0008-1,02/08/15,2,Catharus bicknelli,BITH,2,26-50,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,3,Patagioenas inornata,PLAP,1,Fly-over/Volandos,Sight (Visto)
La Salcedoa ,0008-1,02/08/15,3,Coereba flaveola,BANA,1,26-50,Sight (Visto)
La Salcedoa ,0008-1,02/08/15,3,Phaenicophilus palmarum,BPLT,1,11-25,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,3,Turdus plumbeus,RLTH,1,26-50,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,3,Mellisuga minima,VEHU,1,11-25,Sight (Visto)
La Salcedoa ,0008-1,02/08/15,4,Geotrygon montana,RUQD,1,26-50,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,4,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0008-1,02/08/15,4,Coereba flaveola,BANA,2,11-25,Sound (Canto)
La Salcedoa ,0008-1,02/08/15,4,Loxigilla violacea,GABU,1,11-25,Sound (Canto)
La Salcedoa ,0009-1,02/08/15,1,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,1,Todus subulatus,BBTO,1,11-25,Sound (Canto)
La Salcedoa ,0009-1,02/08/15,1,Dulus dominicus,PALM,2,11-25,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,3,Seiurus aurocapilla,OVEN,1,11-25,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,3,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,3,Dulus dominicus,PALM,1,0-10,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,4,Todus subulatus,BBTO,1,26-50,Sound (Canto)
La Salcedoa ,0009-1,02/08/15,4,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,4,Vireo altiloquus,BWVI,1,26-50,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,4,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,4,Dulus dominicus,PALM,1,0-10,Sight (Visto)
La Salcedoa ,0009-1,02/08/15,4,Turdus plumbeus,RLTH,1,26-50,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,1,Setophaga ruticilla,AMRE,1,26-50,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,1,Vireo altiloquus,BWVI,1,11-25,Sight (Visto)
La Salcedoa ,0010-1,02/08/15,1,Vireo altiloquus,BWVI,1,26-50,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,1,Phaenicophilus palmarum,BPLT,1,11-25,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,1,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0010-1,02/08/15,1,Anthracothorax dominicus,ANMA,1,11-25,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,2,Dulus dominicus,PALM,2,11-25,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0010-1,02/08/15,2,Vireo altiloquus,BWVI,1,26-50,Sight (Visto)
La Salcedoa ,0010-1,02/08/15,3,Vireo altiloquus,BWVI,1,26-50,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,3,Coereba flaveola,BANA,1,26-50,Sight (Visto)
La Salcedoa ,0010-1,02/08/15,3,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0010-1,02/08/15,4,Coereba flaveola,BANA,1,11-25,Sound (Canto)
La Salcedoa ,0010-1,02/08/15,4,Anthracothorax dominicus,ANMA,1,11-25,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,1,Coereba flaveola,BANA,1,26-50,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,1,Todus subulatus,BBTO,1,26-50,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,1,Vireo altiloquus,BWVI,2,26-50,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,1,Mellisuga minima,VEHU,1,11-25,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,1,Anthracothorax dominicus,ANMA,1,0-10,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,1,Coereba flaveola,BANA,2,11-25,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,2,Dulus dominicus,PALM,1,26-50,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,2,Melanerpes striatus,HIWO,1,26-50,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,2,Mellisuga minima,VEHU,1,0-10,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,2,Anthracothorax dominicus,ANMA,1,0-10,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,2,Turdus plumbeus,RLTH,1,11-25,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,3,Vireo altiloquus,BWVI,1,26-50,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,3,Melanerpes striatus,HIWO,1,26-50,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,3,Todus subulatus,BBTO,1,26-50,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,3,Phaenicophilus palmarum,BPLT,1,26-50,Sound (Canto)
La Salcedoa ,0011-1,02/08/15,3,Anthracothorax dominicus,ANMA,1,11-25,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,3,Mellisuga minima,VEHU,1,0-10,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,4,Setophaga tigrina,CMWA,2,11-25,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,4,Setophaga ruticilla,AMRE,1,11-25,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,4,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0011-1,02/08/15,4,Setophaga virens,BTNW,1,11-25,Sight (Visto)
La Salcedoa ,0012-1,02/08/15,1,Cathartes aura,TUVU,1,Fly-over/Volandos,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,1,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,1,Melanerpes striatus,HIWO,1,0-10,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,2,Dulus dominicus,PALM,2,0-10,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,2,Dulus dominicus,PALM,1,26-50,Sound (Canto)
La Salcedoa ,0012-1,02/09/15,2,Melanerpes striatus,HIWO,1,0-10,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,2,Vireo altiloquus,BWVI,1,11-25,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,2,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,3,Dulus dominicus,PALM,1,0-10,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,3,Dulus dominicus,PALM,1,11-25,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,3,Seiurus aurocapilla,OVEN,1,11-25,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,3,Melanerpes striatus,HIWO,1,26-50,Sound (Canto)
La Salcedoa ,0012-1,02/09/15,3,Vireo altiloquus,BWVI,1,26-50,Sound (Canto)
La Salcedoa ,0012-1,02/09/15,3,Coereba flaveola,BANA,1,0-10,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,3,Geothlypis trichas,COYE,1,26-50,Sound (Canto)
La Salcedoa ,0012-1,02/09/15,4,columbina passerina,COGD,1,26-50,Sight (Visto)
La Salcedoa ,0012-1,02/09/15,4,Dulus dominicus,PALM,1,26-50,Sound (Canto)
La Salcedoa ,0012-1,02/09/15,4,Coccyzus longirostris,HILC,1,>50,Sound (Canto)
La Salcedoa ,0012-1,02/09/15,4,Zenaida asiatica,WWDO,2,26-50,Sound (Canto)
La Salcedoa ,0012-1,02/09/15,4,Mellisuga minima,VEHU,1,11-25,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,1,Setophaga ruticilla,AMRE,1,26-50,Sound (Canto)
La Salcedoa ,0013-1,02/09/15,1,Mellisuga minima,VEHU,1,11-25,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,1,Todus subulatus,BBTO,1,11-25,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,1,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,1,Dulus dominicus,PALM,2,11-25,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,2,Nesoctites micromegas,ANPI,1,11-25,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,2,Setophaga ruticilla,AMRE,1,11-25,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,2,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,3,Dulus dominicus,PALM,1,26-50,Sound (Canto)
La Salcedoa ,0013-1,02/09/15,3,Dulus dominicus,PALM,1,26-50,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,3,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,3,Coereba flaveola,BANA,1,26-50,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,3,Melanerpes striatus,HIWO,1,26-50,Sound (Canto)
La Salcedoa ,0013-1,02/09/15,3,Todus subulatus,BBTO,1,11-25,Sound (Canto)
La Salcedoa ,0013-1,02/09/15,3,Vireo altiloquus,BWVI,1,26-50,Sight (Visto)
La Salcedoa ,0013-1,02/09/15,4,Vireo altiloquus,BWVI,1,26-50,Sound (Canto)
La Salcedoa ,0013-1,02/09/15,4,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0013-1,09/02/15,4,Phaenicophilus palmarum,BPLT,2,11-25,Sound (Canto)
La Salcedoa ,0013-1,09/02/15,4,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0014-1,09/02/15,1,Coereba flaveola,BANA,2,11-25,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,1,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,1,Todus subulatus,BBTO,1,11-25,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,1,Mellisuga minima,VEHU,1,11-25,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,1,Coccyzus longirostris,HILC,1,26-50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,1,Seiurus aurocapilla,OVEN,1,26-50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,1,Tachornis phoenicobia,ANPS,3,Fly-over/Volandos,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,1,Setophaga caerulescens,BTBW,1,26-50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,2,Todus subulatus,BBTO,1,26-50,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,2,Todus subulatus,BBTO,1,0-10,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,2,Anthracothorax dominicus,ANMA,1,0-10,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,2,Catharus bicknelli,BITH,1,>50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,2,Myiarchus stolidus,STOF,1,26-50,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,3,Todus subulatus,BBTO,2,26-50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,3,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,3,Myiarchus stolidus,STOF,1,11-25,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,3,Tachornis phoenicobia,ANPS,1,Fly-over/Volandos,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,4,Catharus bicknelli,BITH,1,>50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,4,Melanerpes striatus,HIWO,1,26-50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,4,Coereba flaveola,BANA,1,26-50,Sound (Canto)
La Salcedoa ,0014-1,02/09/15,4,Anthracothorax dominicus,ANMA,2,11-25,Sight (Visto)
La Salcedoa ,0014-1,02/09/15,4,Setophaga magnolia,MAWA,1,0-10,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,1,Coereba flaveola,BANA,1,26-50,Sound (Canto)
La Salcedoa ,0015 -1,02/09/15,1,Loxigilla violacea,GABU,1,11-25,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,1,Setophaga ruticilla,AMRE,1,11-25,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,1,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,1,Geothlypis trichas,COYE,1,0-10,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,1,Coereba flaveola,BANA,1,11-25,Sound (Canto)
La Salcedoa ,0015 -1,02/09/15,1,Geothlypis formosa,KEWA,1,0-10,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,2,Coereba flaveola,BANA,1,26-50,Sound (Canto)
La Salcedoa ,0015 -1,02/09/15,2,Coereba flaveola,BANA,1,11-25,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,2,Geothlypis formosa,KEWA,2,0-10,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,2,Todus subulatus,BBTO,1,0-10,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,2,Geothlypis trichas,COYE,1,11-25,Sight (Visto)
La Salcedoa ,0015 -1,02/09/15,2,Mniotilta varia,BAWW,1,0-10,Sight (Visto)
