Locality,Site,Point.ID,Observer,Recorder,Date,Visit,Time.1,Time.2,Time.3,Time.4,X.coordinate,Y.coordinate,Wind.speed,Wind.direction,Sky,Comment,,
Repœblica Dominicana ,La Salcedoa ,0001-1,HEA,HEA,02/07/15,1,7:00,7:03,7:07,7:10,19.5099780,-70.3299791,0,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0002-1,HEA,HEA,02/07/15,1,7:55,7:58,8:02,8:05,19.5079670,-70.3306391,0,N/A,0,,,
Repœblica Dominicana ,La Salcedoa ,0003-1,HEA,FM,02/07/15,1,9:45,9:48,9:52,9:55,19.5046250,-70.3292111,0,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0002-2,HEA,HEA,02/07/15,1,9:00,9:03,9:07,9:10,19.5035840,-70.3308034,0,N/A,1,,,
Repœblica Dominicana ,La Salcedoa ,0005-1,HEA,HEA,02/07/15,1,16:44,16:47,16:51,16:54,19.5064440,-70.3288544,1,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0006-1,HEA,HEA,02/07/15,1,   17:51:00 PM,17:54,17:58,18:01:30 PM,19.5098830,-70.3280630,1,W,2,,,
Repœblica Dominicana ,La Salcedoa ,0007-1,HEA,HEA,02/07/15,1,   17:37:00 ,17:40,17:44,17:47,19.5123680,-70.3293411,2,N,2,No birds during the last time ,,
Repœblica Dominicana ,La Salcedoa ,0008-1,HEA,HEA,02/08/15,1,6:41,6:44,6:48,6:51,19.5005890,-70.3325797,1,N,1,,,
Repœblica Dominicana ,La Salcedoa ,0009-1,HEA,FM,02/08/15,1,7:32,7:35,7:39,7:52,19.4993670,-70.3341704,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0010-1,HEA,HEA,02/08/15,1,8:37,8:40,8:44,8:47,19.4984770,-70.3322098,1,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0011-1,HEA,HEA,02/08/15,1,9:31,9:34,9:38,9:41,19.4990250,-70.3315378,2,N,2,,,
