"SP","B4","SPEC","CONF","B1","COMMONNAME","B2","SCINAME","SPEC6","CONF6"
"1",NA,NA,"HITI",NA,NA,"Highland Tinamou",NA,"Nothocercus bonapartei","NOTBON",NA
"2",NA,NA,"GRTI",NA,NA,"Great Tinamou",NA,"Tinamus major","TINMAJ",NA
"3",NA,NA,"LITI",NA,NA,"Little Tinamou",NA,"Crypturellus soui","CRYSOU",NA
"4",NA,NA,"THTI",NA,NA,"Thicket Tinamou",NA,"Crypturellus cinnamomeus","CRYCIN",NA
"5",NA,NA,"SBTI",NA,NA,"Slaty-breasted Tinamou",NA,"Crypturellus boucardi","CRYBOU",NA
"6",NA,NA,"CHTI",NA,NA,"Choco Tinamou",NA,"Crypturellus kerriae","CRYKER",NA
"7",NA,NA,"WFWD",NA,NA,"White-faced Whistling-Duck",NA,"Dendrocygna viduata","DENVID",NA
"8",NA,NA,"BBWD",NA,NA,"Black-bellied Whistling-Duck",NA,"Dendrocygna autumnalis","DENAUT",NA
"9",NA,NA,"WIWD",NA,NA,"West Indian Whistling-Duck",NA,"Dendrocygna arborea","DENARB",NA
"10",NA,NA,"FUWD",NA,NA,"Fulvous Whistling-Duck",NA,"Dendrocygna bicolor","DENBIC",NA
"11",NA,NA,"TABG",NA,NA,"Taiga Bean-Goose",NA,"Anser fabalis","ANSFAB",NA
"12",NA,NA,"TUBG",NA,NA,"Tundra Bean-Goose",NA,"Anser serrirostris","ANSSER",NA
"13",NA,NA,"PFGO",NA,NA,"Pink-footed Goose",NA,"Anser brachyrhynchus","ANSBRA",NA
"14",NA,NA,"GWFG",NA,NA,"Greater White-fronted Goose",NA,"Anser albifrons","ANSALB",NA
"15",NA,NA,"LWFG",NA,NA,"Lesser White-fronted Goose",NA,"Anser erythropus","ANSERY",NA
"16",NA,NA,"GRGO",NA,NA,"Graylag Goose",NA,"Anser anser","ANSANS",NA
"17",NA,NA,"EMGO",NA,NA,"Emperor Goose",NA,"Chen canagica","CHECAN",NA
"18",NA,NA,"SNGO",NA,NA,"Snow Goose",NA,"Chen caerulescens","CHECAE",NA
"19","+",NA,"LSGW",NA,NA,"Lesser Snow Goose White-morph",NA,"Chen c. caerulescens","CHECCA",NA
"20","+",NA,"LSGI",NA,NA,"Lesser Snow Goose Intermediate-morph",NA,"Chen c. caerulescens","CHECCA",NA
"21","+",NA,"LSGB",NA,NA,"Lesser Snow Goose Blue-morph",NA,"Chen c. caerulescens","CHECCA",NA
"22","+",NA,"GSGW",NA,NA,"Greater Snow Goose White-morph",NA,"Chen c. atlantica","CHECAT",NA
"23","+",NA,"GSGI",NA,NA,"Greater Snow Goose Intermediate-morph",NA,"Chen c. atlantica","CHECAT",NA
"24","+",NA,"GSGB",NA,NA,"Greater Snow Goose Blue-morph",NA,"Chen c. atlantica","CHECAT",NA
"25","+",NA,"SRGH",NA,NA,"Snow X Ross's Goose Hybrid",NA,"Chen caerul. x rossii","CHECAR",NA
"26",NA,NA,"ROGO",NA,NA,"Ross's Goose",NA,"Chen rossii","CHEROS",NA
"27",NA,NA,"BRAN",NA,NA,"Brant",NA,"Branta bernicla","BRABER",NA
"28","+",NA,"ATBR",NA,NA,"Atlantic Brant",NA,"Branta b. bernicla","BRABBE",NA
"29","+",NA,"BRIN",NA,NA,"Brant Intergrade",NA,"Branta b. bern. x nigri.","BRABBN",NA
"30","+",NA,"BLBR",NA,NA,"Black Brant",NA,"Branta b. nigricans","BRABNI",NA
"31",NA,NA,"BARG","*",NA,"Barnacle Goose",NA,"Branta leucopsis","BRALEU",NA
"32",NA,NA,"CACG","*",NA,"Cackling Goose",NA,"Branta hutchinsii","BRAHUT",NA
"33","+",NA,"ACGO",NA,NA,"Aleutian Cackling Goose",NA,"Branta h. leucopareia","BRAHLE",NA
"34","+",NA,"MCGO",NA,NA,"Minima Cackling Goose",NA,"Branta h. minima","BRAHMI",NA
"35",NA,NA,"CANG","*",NA,"Canada Goose",NA,"Branta canadensis","BRACAN",NA
"36","+",NA,"LCGO",NA,NA,"Large Canada Goose",NA,"Branta c. moffitti","BRACMO",NA
"37","+",NA,"SCGO",NA,NA,"Small Canada Goose",NA,"Branta c. parvipes","BRACPA",NA
"38",NA,NA,"HAGO",NA,NA,"Hawaiian Goose",NA,"Branta sandvicensis","BRASAN",NA
"39",NA,NA,"MUSW",NA,NA,"Mute Swan",NA,"Cygnus olor","CYGOLO",NA
"40",NA,NA,"TRUS","*",NA,"Trumpeter Swan",NA,"Cygnus buccinator","CYGBUC",NA
"41",NA,NA,"TUSW",NA,NA,"Tundra Swan",NA,"Cygnus columbianus","CYGCOL",NA
"42","+",NA,"WHSW",NA,NA,"Whistling Swan",NA,"Cygnus c. columbianus","CYGCCO",NA
"43","+",NA,"BESW",NA,NA,"Bewick's Swan",NA,"Cygnus c. bewickii","CYGCBE",NA
"44",NA,NA,"WHOS","*",NA,"Whooper Swan",NA,"Cygnus cygnus","CYGCYG",NA
"45",NA,NA,"CODU",NA,NA,"Comb Duck",NA,"Sarkidiornis melanotos","SARMEL",NA
"46",NA,NA,"ORGO",NA,NA,"Orinoco Goose",NA,"Neochen jubata","NEOJUB",NA
"47",NA,NA,"EGGO",NA,NA,"Egyptian Goose",NA,"Alopochen aegyptiaca","ALOAEG",NA
"48",NA,NA,"MUDU",NA,NA,"Muscovy Duck",NA,"Cairina moschata","CAIMOS",NA
"49",NA,NA,"WODU",NA,NA,"Wood Duck",NA,"Aix sponsa","AIXSPO",NA
"50",NA,NA,"GADW",NA,NA,"Gadwall",NA,"Anas strepera","ANASTR",NA
"51",NA,NA,"FADU",NA,NA,"Falcated Duck",NA,"Anas falcata","ANAFAL",NA
"52",NA,NA,"EUWI",NA,NA,"Eurasian Wigeon",NA,"Anas penelope","ANAPEN",NA
"53",NA,NA,"AMWI",NA,NA,"American Wigeon",NA,"Anas americana","ANAAME",NA
"54",NA,NA,"ABDU",NA,NA,"American Black Duck",NA,"Anas rubripes","ANARUB",NA
"55","+",NA,"ABDH",NA,NA,"American Black Duck X Mallard Hybrid",NA,"Anas rubripes x platy.","ANARUP",NA
"56",NA,NA,"MALL",NA,NA,"Mallard",NA,"Anas platyrhynchos","ANAPLA",NA
"57","+",NA,"MEDU",NA,NA,"Mexican Duck",NA,"Anas p. diazi","ANAPDI",NA
"58",NA,NA,"MODU",NA,NA,"Mottled Duck",NA,"Anas fulvigula","ANAFUL",NA
"59",NA,NA,"HAWD","*",NA,"Hawaiian Duck",NA,"Anas wyvilliana","ANAWYV",NA
"60",NA,NA,"LAYD","*",NA,"Laysan Duck",NA,"Anas laysanensis","ANALAY",NA
"61",NA,NA,"ESBD",NA,NA,"Eastern Spot-billed Duck",NA,"Anas zonorhyncha","ANAZON",NA
"62",NA,NA,"BWTE",NA,NA,"Blue-winged Teal",NA,"Anas discors","ANADIS",NA
"63",NA,NA,"CITE",NA,NA,"Cinnamon Teal",NA,"Anas cyanoptera","ANACYA",NA
"64","+",NA,"UNTE",NA,NA,"Unidentified Teal",NA,"Anas (sp)","ANASPE",NA
"65",NA,NA,"NSHO","*",NA,"Northern Shoveler",NA,"Anas clypeata","ANACLY",NA
"66",NA,NA,"WCHP","*",NA,"White-cheeked Pintail",NA,"Anas bahamensis","ANABAH",NA
"67",NA,NA,"NOPI",NA,NA,"Northern Pintail",NA,"Anas acuta","ANAACU",NA
"68",NA,NA,"GARG",NA,NA,"Garganey",NA,"Anas querquedula","ANAQUE",NA
"69",NA,NA,"BATE",NA,NA,"Baikal Teal",NA,"Anas formosa","ANAFOR",NA
"70",NA,NA,"GWTE",NA,NA,"Green-winged Teal",NA,"Anas crecca","ANACRE",NA
"71","+",NA,"AGWT",NA,NA,"American Green-winged Teal",NA,"Anas c. carolinensis","ANACCA",NA
"72","+",NA,"EGWT",NA,NA,"Eurasian Green-winged Teal",NA,"Anas c. crecca","ANACCR",NA
"73",NA,NA,"CANV",NA,NA,"Canvasback",NA,"Aythya valisineria","AYTVAL",NA
"74",NA,NA,"REDH",NA,NA,"Redhead",NA,"Aythya americana","AYTAME",NA
"75",NA,NA,"COMP","*",NA,"Common Pochard",NA,"Aythya ferina","AYTFER",NA
"76",NA,NA,"RNDU",NA,NA,"Ring-necked Duck",NA,"Aythya collaris","AYTCOL",NA
"77",NA,NA,"TUDU",NA,NA,"Tufted Duck",NA,"Aythya fuligula","AYTFUL",NA
"78",NA,NA,"GRSC",NA,NA,"Greater Scaup",NA,"Aythya marila","AYTMAR",NA
"79",NA,NA,"LESC",NA,NA,"Lesser Scaup",NA,"Aythya affinis","AYTAFF",NA
"80",NA,NA,"STEI",NA,NA,"Steller's Eider",NA,"Polysticta stelleri","POLSTE",NA
"81",NA,NA,"SPEI",NA,NA,"Spectacled Eider",NA,"Somateria fischeri","SOMFIS",NA
"82",NA,NA,"KIEI",NA,NA,"King Eider",NA,"Somateria spectabilis","SOMSPE",NA
"83",NA,NA,"COEI",NA,NA,"Common Eider",NA,"Somateria mollissima","SOMMOL",NA
"84",NA,NA,"HADU",NA,NA,"Harlequin Duck",NA,"Histrionicus histrionicus","HISHIS",NA
"85",NA,NA,"LABD","*",NA,"Labrador Duck",NA,"Camptorhynchus labradorius","CAMLAB",NA
"86",NA,NA,"SUSC",NA,NA,"Surf Scoter",NA,"Melanitta perspicillata","MELPER",NA
"87",NA,NA,"WWSC",NA,NA,"White-winged Scoter",NA,"Melanitta fusca","MENFUS","*"
"88",NA,NA,"BLSC",NA,NA,"Black Scoter",NA,"Melanitta americana","MELAME",NA
"89",NA,NA,"LTDU",NA,NA,"Long-tailed Duck",NA,"Clangula hyemalis","CLAHYE",NA
"90",NA,NA,"BUFF",NA,NA,"Bufflehead",NA,"Bucephala albeola","BUCALB",NA
"91",NA,NA,"COGO",NA,NA,"Common Goldeneye",NA,"Bucephala clangula","BUCCLA",NA
"92",NA,NA,"BAGO",NA,NA,"Barrow's Goldeneye",NA,"Bucephala islandica","BUCISL",NA
"93",NA,NA,"SMEW",NA,NA,"Smew",NA,"Mergellus albellus","MERALB",NA
"94",NA,NA,"HOME",NA,NA,"Hooded Merganser",NA,"Lophodytes cucullatus","LOPCUC",NA
