Site,Point.ID,Date,Survey.number,Species - Scientific Name,Species - 4-letter Code,Count,Distance,Detected By,,,,,,,,,
Juncos,5373-1,01/20/18,1,Quiscalus niger,GAGR,2,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,1,Quiscalus niger,GAGR,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,1,Zenaida aurita,ZEND,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,1,Tyrannus dominicensis,GRAK,2,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,1,Tyrannus dominicensis,GRAK,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Tyrannus dominicensis,GRAK,1,>50,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Margarops fuscatus,PETH,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Zenaida asiatica,WWDO,3,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Quiscalus niger,GAGR,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Quiscalus niger,GAGR,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Zenaida aurita,ZEND,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Margarops fuscatus,PETH,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Quiscalus niger,GAGR,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,2,Tyrannus dominicensis,GRAK,2,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Tyrannus dominicensis,GRAK,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Zenaida aurita,ZEND,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Margarops fuscatus,PETH,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Turdus plumbeus,RLTH,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Zenaida aurita,ZEND,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Coereba flaveola,BANA,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Quiscalus niger,GAGR,2,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Tyrannus dominicensis,GRAK,2,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-1,01/20/18,3,Coereba flaveola,BANA,1,0-10,Sound (Canto),,,,,,,,,
